sample_id,smiles
1,O=C(C1CC(CCCCCCCC)CCCCCCCC)C2=C(SC(C)=C2)C3=C(C=C(C)S3)C1=O
2,CC1=CC(C(CCCCCCCC)(CCCCCCCC)C2=C3C=CC(C4=CC=C(C)C5=NSN=C45)=C2)=H10C3C=C1
3,CC1=CC(CCCCCCCC)=C(C2=CC=C(C(C3=C(F)C(F)=C(C(C4=CC=C(C5=C(CCCCCCCC)C=C(C)S5)S4)=O)C(F)=C3F)=O)S2)S1
4,CC1=CC(CCCCCC)=C(C2=CC(CCCCCC)=C(C3=CC(CCCCCC)=C(C4=CC(CCCCCC)=C(C)S4)S3)S2)S1
5,CC1=CC=C(C2=C3C=C(C4=CC=C(C5=CC=C(C)S5)S4)C=C2)C(C3(CCCCCCCC)CCCCCCCC)=C1
6,CCCCCCCCC(CCCCCCCC)N1C2=CC(C3=CC=C(C(C4=NSN=C54)=CC=C5C6=CC=C(S6)C7=CC=CC=C7)S3)=CC=C2C8=CC=C(C9=CC=CC=C9)C=C81
7,CC1=CC(CCCCCCCCCCCC)=C(C2=C3C(N=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)=C(C6=C(CCCCCCCCCCCC)C=C(C7=CC(C(CCCCCCCCCCCC)(CCCCCCCCCCCC)C8=C9C=CC(C)=C8)=C9C=C7)S6)S2)S1
8,CC(C=C1)=CC2=C1C(C=C3)=C(C2(CCCCCCCCCCCC)CCCCCCCCCCCC)C=C3C(S4)=CC(CCCCCCCCCCCC)=C4C5=C6C(N=C7C8=C(C(C7=N6)=CC=C9)C9=CC=C8)=C(C%10=C(CCCCCCCCCCCC)C=C(C)S%10)S5
9,CC1=CC=C(/C=C/C2=CC=C(C3=CC=C(C(C=CC(C)=C4)=C4C5(CCCCCCCC)CCCCCCCC)C5=C3)S2)S1
10,CC1=CC2=C(S1)C=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)S3)S2
11,O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC(/C=C/C3=C(CCCCCC)C=C(C4=CC(F)=C(/C=C/C5=C(F)C=C(C6=CC(CCCCCC)=C(/C=C/C)S6)C7=NSN=C75)C8=NSN=C48)S3)=C9C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C%10=O)=O)C9=C%10C=C2C
12,C1=CC(/C=C/C3=CC=C(C4=C5C(N=S=N5)=C(C6=CC=C(/C=C/C)S6)C7=NN(CC(CC)CCCC)N=C47)S3)=C8C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C9=O)=O)C8=C9C=C2
13,CC1=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C2=O)=C3C2=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C)S7)S6)S5)S4)N(CC(CCCCCC)CCCCCCCC)C3=O)S1
14,CC1=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C2=O)=C3C2=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C)S7)S6)S5)S4)N(CC(CCCCCC)CCCCCCCC)C3=O)S1CC=C(C8=C(CCCCCCCCCCCC)C=C(C)S8)S7)S6)S5)S4)N(CC(CCCCCC)CCCCCCCC)C3=O)S1
15,CC1=CC=C(C(N(CC(CC)CCCC)C2=O)=C3C2=C(C4=CC=C(C5=C(CCCCCCCCCCCC)C=C(C6=CC=C(/C=C/C7=CC=C(C8=C(CCCCCCCCCCCC)C=C(C)S8)S7)S6)S5)S4)N(CC(CCCC)CC)C3=O)S1
16,CC1=C(C(N2CC(CCCCCC)CCCCCCCC)=O)C3=C(C(C(N4CC(CCCCCC)CCCCCCCC)=O)=C(C5=CC=C(C6=CC=C(C)S6)S5)C=C3C2=O)C(C4=O)=C1
17,CC1=C(C(N2CCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)=O)C3=C(C(C(N4CCCCC[Si](O[Si](C)(C)C)(C)O[Si](C)(C)C)=O)=C(C5=CC=C(C6=CC=C(C)S6)S5)C=C3C2=O)C(C4=O)=C1
18,CC1=CC=C(C2=C3C(C(N2CC(CCCCCCCC)CCCCCCCCCC)=O)=C(C4=CC=C(/C=N/N=C/C)S4)N(CC(CCCCCCCCCC)CCCCCCCC)C3=O)S1
19,CCCCCCC)=O)=C(C4=NC=C(C5=CN=C(C6=NC=C(C)S6)S5)S4)N(CCCCC(CCCCCCCCCC)CCCCCCCCCCCC)C3=O)S1
